Stazione,Opzioni Selezionate
punto_0_ore_3,"Cinetica disco: Singolo, Cinetica disco: Doppio, Vibroalimentatore: Vibroalimentatore, Dischi trasporto 30 MCV4: Seleziona: 5, Taatiera: US, Scivolo di carico: Scivolo di carico unico, Guide: Pesce aria"
stazione_1,IBG: Cricche 1 sonda
stazione_2,IBG: Cricche 1 sonda
stazione_3,Top Camera: Superficiale
stazione_4,"Side Camera: 1 telecamera + 360°, Ottiche: TC-56, Illuminatore: Standard Ø80"
stazione_5,"Side Camera: 1 telecamera, Ottiche: TC-56, Illuminatore: Standard Ø100"
sensore,(nessuna opzione selezionata)
uscita_1,"Uscita: Con flap, Sensore scarto: Induttivo"
uscita_2,Uscita: Standard
